Age,Work_Hours_Per_Week,Projects_Handled,Training_Hours,Employee_Satisfaction_Score,Resigned
60,35,17,49,4.64,FALSE
55,44,21,10,2.63,FALSE
46,49,37,98,2.54,FALSE
57,55,21,52,2.15,FALSE
49,47,0,48,4.17,FALSE
23,39,0,0,1.34,FALSE
54,60,22,29,2.21,FALSE
32,58,39,83,1.17,FALSE
44,38,0,95,1.22,FALSE
38,47,39,46,3.34,FALSE
25,35,10,94,1.29,FALSE
49,52,24,68,2.71,FALSE
50,33,17,31,3.44,FALSE
48,35,16,19,4.35,FALSE
45,37,14,5,1.97,FALSE
57,31,5,53,4.66,FALSE
40,37,28,7,1.11,FALSE
35,53,47,34,4.32,FALSE
55,30,31,78,4.34,FALSE
39,47,40,3,2.53,FALSE
34,55,43,85,2.84,FALSE
48,34,31,18,1.88,FALSE
29,60,28,6,1.29,FALSE
30,42,45,7,2.44,FALSE
52,35,43,84,1.71,FALSE
45,38,26,16,4.15,FALSE
46,32,38,46,1.31,FALSE
50,38,42,47,2.7,FALSE
56,55,30,17,1.09,FALSE
51,50,6,90,1.87,FALSE
27,56,11,42,3.73,FALSE
51,35,45,40,4.15,FALSE
42,53,35,53,4.89,FALSE
30,38,10,48,3.66,FALSE
45,41,6,96,4.54,FALSE
23,59,12,40,2.36,FALSE
51,48,46,71,1.87,FALSE
37,33,14,14,2.4,FALSE
45,55,44,61,4.1,FALSE
37,32,18,64,4.77,FALSE
26,37,27,29,4.27,FALSE
41,58,5,39,1.33,FALSE
40,51,43,26,1.07,FALSE
41,36,34,73,2.6,FALSE
55,42,22,13,3.76,FALSE
25,38,20,0,3.22,FALSE
31,47,40,82,1.36,FALSE
29,51,28,49,4.83,FALSE
54,47,33,79,3.02,FALSE
49,59,0,31,1.76,FALSE
36,55,15,72,4.3,FALSE
54,43,41,18,3.21,FALSE
32,34,17,5,4.18,FALSE
59,58,12,98,1.43,FALSE
39,39,31,59,2.51,FALSE
33,60,2,16,4.56,FALSE
51,54,16,49,2.69,FALSE
29,40,29,24,1.01,FALSE
25,58,13,34,3.16,FALSE
53,46,12,8,3.24,FALSE
43,42,14,98,4.27,FALSE
46,31,32,72,3.24,FALSE
47,36,24,47,2.32,FALSE
60,33,34,43,4.82,FALSE
40,34,27,27,1.96,FALSE
41,33,36,44,1.79,FALSE
50,36,42,4,3.81,FALSE
24,39,48,11,1.73,FALSE
58,48,38,54,1.32,FALSE
58,59,44,85,3.94,FALSE
46,42,9,26,3.49,FALSE
58,42,0,25,1.44,FALSE
34,44,27,3,3.71,FALSE
26,31,13,9,1.17,FALSE
31,53,18,94,3.79,FALSE
22,37,21,82,4.88,FALSE
24,56,38,72,3.46,FALSE
24,33,32,83,3.92,FALSE
45,34,7,51,4.58,FALSE
36,43,39,57,4.58,FALSE
50,50,35,11,4.56,FALSE
26,31,31,89,3.53,FALSE
58,38,24,71,2.04,FALSE
32,56,19,78,1.37,FALSE
33,52,0,24,4.08,FALSE
59,54,46,76,4.11,FALSE
44,56,12,44,1.63,FALSE
30,59,24,83,3.11,FALSE
31,46,25,75,4.78,FALSE
47,47,40,24,1.94,FALSE
27,30,9,97,2.29,FALSE
27,39,47,47,3.11,FALSE
52,34,49,45,1.73,FALSE
35,55,26,28,3.02,FALSE
34,37,35,46,2.67,FALSE
38,34,43,43,1.14,FALSE
29,49,38,53,2.42,FALSE
37,45,47,45,2.76,FALSE
51,36,27,66,4.73,FALSE
25,32,34,7,2.27,FALSE
53,43,28,72,4.86,FALSE
58,53,18,16,2.11,FALSE
43,43,5,7,3.21,FALSE
46,45,39,55,3.31,FALSE
45,42,17,25,1.35,FALSE
47,42,49,93,3.85,FALSE
36,38,3,15,2.7,FALSE
24,50,36,14,1.74,FALSE
51,40,22,27,4.01,FALSE
41,30,20,33,4.88,FALSE
34,45,13,19,2.05,FALSE
27,56,40,36,4.85,FALSE
50,30,45,2,1.82,FALSE
35,32,19,68,1.19,FALSE
55,42,11,19,4.8,FALSE
34,53,34,22,3.92,FALSE
24,52,2,96,3.88,FALSE
60,51,25,63,1.35,FALSE
51,60,15,40,2.83,FALSE
55,32,44,90,2.62,FALSE
23,51,3,19,4.13,FALSE
26,54,10,36,3.36,FALSE
48,47,16,70,1.44,FALSE
28,53,25,87,3.51,FALSE
53,50,46,48,1.71,FALSE
26,37,14,8,4.93,FALSE
51,46,37,20,1.08,FALSE
41,35,23,89,4.13,FALSE
54,32,44,58,4.91,FALSE
59,51,3,9,1.41,FALSE
40,38,30,14,1.86,FALSE
46,47,40,79,3.1,FALSE
47,50,7,93,2.26,FALSE
58,32,33,85,4.63,FALSE
54,48,2,5,4.36,FALSE
56,36,47,88,1.66,FALSE
36,55,10,63,3.76,FALSE
43,58,25,41,2.44,FALSE
26,38,1,67,3.11,FALSE
22,47,49,42,4.73,FALSE
