Years_At_Company,Performance_Score,Monthly_Salary,Remote_Work_Frequency,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
9,3,7800,75,45,2,1.35,TRUE
3,2,4800,0,28,2,2.9,TRUE
9,5,5250,25,68,1,1.87,TRUE
8,1,4950,75,36,2,2.64,TRUE
0,3,4550,25,74,2,4.23,TRUE
6,4,8400,25,21,0,1.68,TRUE
8,3,7150,25,94,2,3.5,TRUE
7,3,5850,100,0,0,3.4,TRUE
0,2,6600,0,26,2,3.23,TRUE
5,1,5500,100,84,1,3.69,TRUE
5,3,7800,50,43,2,1.03,TRUE
6,3,7800,25,30,1,3.19,TRUE
4,1,6050,0,48,1,3.63,TRUE
4,3,7150,75,57,2,5,TRUE
4,1,3850,75,13,1,2.94,TRUE
1,5,7500,50,66,2,1.24,TRUE
9,5,6750,50,97,2,2.84,TRUE
2,4,8400,100,27,0,4.15,TRUE
7,1,4400,0,53,1,1.97,TRUE
3,2,4800,100,43,0,1.82,TRUE
0,3,6500,75,16,1,3.59,TRUE
7,1,3850,0,67,1,2.39,TRUE
1,2,5400,50,11,0,2.8,TRUE
3,2,4800,25,64,1,3.84,TRUE
7,5,6750,0,61,0,2.51,TRUE
1,5,9000,50,26,1,1.59,TRUE
3,1,6050,100,38,2,3.73,TRUE
1,2,7200,0,88,2,4.9,TRUE
7,1,5500,0,64,1,4.61,TRUE
3,4,6300,50,98,0,2.86,TRUE
6,3,7800,100,74,2,4.21,TRUE
1,3,6500,0,32,0,2.18,TRUE
0,2,4200,75,69,2,4.5,TRUE
9,5,8250,75,42,0,3.06,TRUE
0,1,6600,50,2,1,1.65,TRUE
4,4,5600,0,5,0,2.29,TRUE
4,4,7700,0,35,1,3.34,TRUE
7,1,3850,25,26,1,2.97,TRUE
0,4,5600,25,84,0,1.18,TRUE
3,2,7200,0,57,2,1.42,TRUE
0,3,5850,25,67,0,1.85,TRUE
1,4,7000,25,36,0,2.15,TRUE
2,4,6300,100,63,2,2.89,TRUE
0,5,9000,25,37,1,2.64,TRUE
2,3,4550,75,98,1,3.42,TRUE
9,4,8400,50,88,2,3.17,TRUE
0,3,7800,100,7,1,1.29,TRUE
9,4,7000,75,29,0,3.35,TRUE
4,4,4900,75,95,1,4.48,TRUE
4,4,8400,0,19,2,3.15,TRUE
0,2,4200,50,7,2,4.51,TRUE
5,3,7800,0,73,0,1.81,TRUE
0,2,5400,50,13,0,3.55,TRUE
1,4,8400,50,58,0,2.04,TRUE
5,4,8400,50,85,0,1.18,TRUE
3,1,6600,100,78,1,1.13,TRUE
7,4,7700,50,60,2,3.6,TRUE
8,2,7200,75,67,0,2.44,TRUE
6,2,7200,75,88,1,4.28,TRUE
2,1,4950,50,26,0,4.16,TRUE
2,3,7800,0,57,2,4.16,TRUE
0,2,6000,50,3,0,4.52,TRUE
6,2,7200,0,62,2,1.85,TRUE
7,2,4200,25,34,2,1.12,TRUE
6,4,8400,0,52,0,1.56,TRUE
5,4,7000,100,5,1,2.47,TRUE
2,3,5850,100,0,1,1.22,TRUE
6,1,5500,0,8,0,1.51,TRUE
4,5,5250,75,38,2,4.46,TRUE
1,5,5250,100,46,1,2.98,TRUE
9,2,5400,25,69,1,3.65,TRUE
4,1,3850,0,40,0,3.1,TRUE
2,5,9000,100,87,1,3.73,TRUE
9,4,5600,100,96,1,2.95,TRUE
8,2,4800,100,23,0,3.25,TRUE
9,5,9000,50,86,0,2.91,TRUE
2,2,4200,75,31,0,1.72,TRUE
9,1,6600,75,93,2,4.77,TRUE
3,1,4400,100,47,2,3.99,TRUE
1,5,9000,75,41,1,3.65,TRUE
4,5,6750,100,46,1,1.89,TRUE
5,3,7800,25,37,0,1.21,TRUE
2,5,7500,50,71,0,2.19,TRUE
5,3,5200,50,89,0,4.03,TRUE
6,5,6750,50,43,2,3.46,TRUE
6,2,4800,50,16,2,2.13,TRUE
6,3,4550,75,33,2,4.12,TRUE
6,4,8400,25,80,2,3.65,TRUE
3,2,7200,0,55,2,4.01,TRUE
7,5,6750,25,32,1,3.27,TRUE
3,4,4900,75,2,1,4.6,TRUE
0,3,6500,75,42,0,4.46,TRUE
9,4,7700,75,92,2,4.88,TRUE
9,5,9000,100,83,0,3.32,TRUE
9,4,7000,50,29,2,3.92,TRUE
0,4,8400,100,51,0,1.5,TRUE
8,3,6500,50,7,1,3,TRUE
8,1,5500,75,66,0,3.47,TRUE
1,3,5200,75,69,0,4.33,TRUE
7,4,6300,75,2,2,3.43,TRUE
9,4,4900,75,73,0,1.2,TRUE
5,4,8400,100,10,2,4.68,TRUE
1,3,7800,75,15,2,3.93,TRUE
5,4,7000,75,27,1,4.26,TRUE
2,3,7800,0,59,2,4.45,TRUE
3,2,4200,25,87,1,4.49,TRUE
3,2,7200,50,44,0,1.46,TRUE
8,1,6600,25,77,1,2.42,TRUE
4,3,7150,75,21,0,1.68,TRUE
8,2,6000,0,13,1,4.28,TRUE
1,1,4400,0,76,1,2,TRUE
1,2,7200,50,38,1,3.23,TRUE
7,4,8400,50,41,0,3.87,TRUE
0,5,6750,75,2,0,3.53,TRUE
8,3,7800,50,59,1,4.73,TRUE
8,2,4800,25,45,0,2.15,TRUE
7,2,5400,100,52,1,2.13,TRUE
1,2,4800,75,45,0,4.21,TRUE
8,3,5850,50,1,0,4.91,TRUE
7,5,5250,100,44,1,1.99,TRUE
2,2,4800,50,21,1,4.29,TRUE
2,2,6000,0,93,1,2.88,TRUE
6,2,7200,25,3,0,2.21,TRUE
7,2,7200,100,53,0,1.7,TRUE
6,5,6000,75,67,1,4.55,TRUE
